time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00003.chdata,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 16:28:22.320",0.26338,-0.04971,0.21907,0.19977,0.02002,0.00616,-0.75128,-0.05329,-0.07952,0.10982,0.35481,0.09974,11.58796,0.84852,1.04565,-2.28294,850.72601,0.71685,0.06764,-0.40507
="2026/04/02 16:28:22.340",0.85187,-0.05677,-0.8608,0.66168,0.07792,0.05163,0.22918,0.05263,-0.349,-0.05536,0.34766,-0.38621,12.19323,-1.54019,1.06808,-2.44001,845.99811,1.18867,-0.24155,-0.00238
="2026/04/02 16:28:22.360",0.16379,0.02586,-0.87579,0.6465,0.0979,0.12951,-0.57596,-0.11492,-0.63046,0.39588,0.47549,-0.95098,17.46572,0.71209,0.41962,-0.85194,846.3009,1.69469,0.00871,-0.6132
="2026/04/02 16:28:22.380",1.206,0.00722,0.20304,0.52768,0.10822,-0.00916,0.24947,0.08934,0.39812,-0.21719,0.69905,-0.54274,19.57952,-0.24452,0.89888,-2.47512,846.10468,1.36761,0.09982,-0.40598
="2026/04/02 16:28:22.400",0.32484,-0.12443,-1.14865,0.36498,0.05403,0.05066,0.14795,-0.05147,-0.4178,0.04424,0.59029,-0.5671,22.15587,-1.28846,0.6009,-0.86855,849.15692,2.54999,-0.00631,-0.2638
="2026/04/02 16:28:22.420",0.35688,-0.09626,0.30051,0.32884,-0.03564,-0.02198,0.00819,-0.03956,0.0916,-0.10162,0.70441,-0.73697,23.92015,1.0053,0.1984,-0.94002,855.08374,2.36068,0.21908,-0.94919
="2026/04/02 16:28:22.440",1.0078,-0.20637,-0.84514,-0.17321,0.021,0.00595,0.74015,0.04127,0.23038,-0.53254,0.83068,-0.70763,22.55903,-1.3657,0.17578,-1.14972,859.59491,2.15684,-0.05712,-0.02674
="2026/04/02 16:28:22.460",-0.1776,-0.23922,-0.48856,-0.0912,-0.0019,0.07985,-0.1589,-0.05551,-0.16607,-0.0543,0.47763,-0.78405,23.13544,0.37614,-0.20343,0.62054,866.78528,2.55995,0.03793,-0.19045
="2026/04/02 16:28:22.480",0.98728,-0.18556,0.21522,-0.21117,-0.08383,-0.09448,0.49851,0.01843,0.8132,-0.65273,0.34389,-0.88692,20.13702,0.28609,-0.17138,-0.38242,870.35797,1.71202,0.06037,-0.09068
="2026/04/02 16:28:22.500",0.15835,-0.18957,-1.05722,-0.36185,-0.06704,0.01697,0.2985,-0.01844,0.24607,-0.19939,0.01849,-0.15026,17.76599,-1.07667,-0.69267,1.05963,873.86859,1.67806,-0.07092,0.53452
="2026/04/02 16:28:22.520",-0.18996,-0.08461,0.5328,-0.76337,0.04936,0.01816,-0.07742,0.01338,0.57828,-0.21766,0.34664,-0.43132,15.62812,1.39855,-0.88419,1.37016,876.92963,1.09667,0.22192,-0.13004
="2026/04/02 16:28:22.540",0.68364,0.08707,-0.23148,-0.57617,-0.0887,-0.10425,0.64785,-0.0114,0.78403,-0.39966,0.06859,-0.22782,11.52439,-1.00207,-0.83776,1.48231,875.00671,0.48637,-0.06209,0.79137
="2026/04/02 16:28:22.560",-0.68735,-0.01308,-0.15885,-0.75688,0.01406,-0.03192,0.06261,0.01994,-0.17225,0.27455,-0.12537,-0.037,11.19775,0.27699,-1.20888,2.27297,874.80426,0.27486,0.0104,-0.06813
="2026/04/02 16:28:22.580",0.32618,-0.04339,1.10711,-0.61101,-0.07168,-0.10793,0.38736,0.07064,1.30384,-0.01688,-0.07541,-0.49158,10.6038,0.69588,-0.80141,1.96077,871.34131,-0.65798,0.03595,0.06879
="2026/04/02 16:28:22.600",-0.46976,-0.07712,-0.27589,-0.69826,0.04015,-0.00932,0.448,-0.11518,0.11737,0.22919,-0.37858,-0.08456,13.2961,-0.77217,-0.88938,2.75962,867.13489,-0.95146,-0.1576,0.80053
="2026/04/02 16:28:22.620",-0.52645,-0.05302,0.89107,-0.43494,-0.03841,-0.06321,-0.17889,0.05144,0.48266,0.41705,-0.43591,0.11379,17.02614,1.54353,-1.08146,2.74159,864.75421,-1.42589,0.17153,-0.07701
