time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 15:45:27.220",-0.13826,0.23495,-0.20857,0.18757,-0.16189,0.04585,0.40583,-0.06129,-0.04858,22.02992,864.94012,-0.35387,-0.01239,0.2131,0.10809,-0.01549,0.07666,-0.07574,0.06309,-0.09872
="2026/04/02 15:45:27.240",-0.08206,0.10264,-0.12803,0.18259,-0.16356,-0.33357,0.15562,-0.07523,0.03422,21.80531,864.914,-0.00372,0.03939,-0.00295,0.08098,0.01727,-0.07565,0.19677,0.09248,-0.21932
="2026/04/02 15:45:27.260",-0.10288,-0.0275,0.01061,0.48644,-0.08692,0.36672,0.19806,-0.01111,-0.02159,21.27122,865.33557,-0.18899,-0.06023,-0.04287,0.07325,-0.0756,-0.15816,-0.21218,0.10957,0.31226
="2026/04/02 15:45:27.280",-0.12486,0.13534,-0.25949,-0.09974,0.19113,-0.52916,0.33574,0.02206,-0.01608,20.61623,866.19043,0.05825,-0.07899,0.0808,0.00181,0.09553,0.15602,0.18292,0.0488,-0.23041
="2026/04/02 15:45:27.300",-0.00554,-0.08349,0.04671,0.33677,0.05703,0.34368,0.33403,-0.01194,-0.0251,20.16902,866.30634,0.20636,-0.03444,-0.04893,0.03275,-0.03977,-0.18185,0.00378,0.06701,0.03146
="2026/04/02 15:45:27.320",0.00805,-0.07887,0.13433,0.04881,0.11856,0.32776,0.20976,-0.03831,-0.00847,19.97264,865.20532,-0.04105,-0.06115,0.05217,0.01263,0.10292,0.04162,-0.15449,-0.01632,0.04835
="2026/04/02 15:45:27.340",-0.00764,-0.05501,-0.02155,-0.30254,0.03669,-0.17306,0.05875,-0.0139,-0.01909,20.47059,865.12018,0.44736,0.03364,-0.11192,-0.12496,-0.0422,0.09937,0.1239,-0.0729,-0.16206
="2026/04/02 15:45:27.360",0.01019,0.0232,0.07204,0.14447,-0.26771,0.5352,0.45012,-0.04437,-0.00458,21.86495,865.93408,0.11063,0.03749,0.07747,-0.19422,-0.00519,0.00157,-0.07715,-0.14909,0.15133
="2026/04/02 15:45:27.380",-0.01915,0.24773,0.2168,-0.26165,-0.20308,-0.06417,0.1399,-0.01501,-0.00355,22.40762,865.44727,0.29428,0.02639,0.00168,-0.25167,-0.10474,0.15335,0.08834,-0.03304,-0.2581
="2026/04/02 15:45:27.400",0.06461,-0.01552,0.12537,0.2568,-0.03703,-0.10304,0.11935,-0.01394,-0.00407,22.24563,865.51807,0.20421,0.07458,-0.08977,-0.0936,0.08026,0.03271,-0.07478,0.0121,-0.03629
="2026/04/02 15:45:27.420",-0.02893,-0.15143,-0.15826,0.12083,0.43566,-0.12291,0.34155,0.04006,0.00725,21.85207,865.80054,-0.0441,-0.00326,0.17536,-0.17966,-0.00278,0.29035,-0.09243,0.10956,-0.00169
="2026/04/02 15:45:27.440",-0.02154,-0.15809,0.00212,-0.10377,0.32373,-0.22843,0.08027,-0.04282,-0.00841,21.51548,866.48358,0.20605,0.07027,0.03295,-0.18387,-0.04968,0.29643,0.11445,0.11662,-0.10463
="2026/04/02 15:45:27.460",0.04559,-0.16165,-0.00806,0.14789,0.04086,0.19119,-0.03856,0.07897,0.05767,22.2369,867.11438,-0.03105,0.02019,-0.03456,-0.19582,0.03734,0.17584,-0.15075,-0.06309,0.28626
="2026/04/02 15:45:27.480",0.03107,-0.25196,-0.04575,-0.12923,0.36844,-0.24638,0.21318,-0.02929,0.0807,22.93318,867.00122,-0.0806,-0.01039,-0.11541,-0.30199,-0.00147,0.34476,0.03985,-0.18421,-0.0691
="2026/04/02 15:45:27.500",0.01701,-0.3706,0.06807,-0.21334,0.25907,0.09475,-0.00537,0.02245,-0.02216,23.51272,866.72668,-0.09613,0.0304,-0.17432,-0.20775,-0.07284,0.11423,-0.01994,-0.13532,-0.05406
="2026/04/02 15:45:27.520",0.04794,-0.12675,-0.18565,-0.0621,0.06866,-0.15808,-0.03723,0.00208,-0.02367,22.94725,866.40045,-0.19094,0.03966,-0.14322,-0.24997,0.02877,0.30334,-0.12428,-0.08549,0.10395
