time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00004.chdata,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 17:29:00.060",1.1698,0.33645,0.23606,-0.3652,0.7716,-2.95545,1.89337,-0.25055,-0.24972,41.44531,1.35984,0.13429,-2.38336,-0.03264,-0.18575,0.06743,862.19598,0.71765,-0.49729,-0.74783
="2026/04/02 17:29:00.080",0.42858,0.5558,0.55875,-0.67883,0.95172,-2.53813,0.88243,-0.15683,-0.21291,43.42459,-0.23016,0.0348,-1.15118,-0.93182,-0.07603,-0.08957,864.20905,-0.41307,-0.35965,0.30603
="2026/04/02 17:29:00.100",0.46761,0.38432,1.4879,0.09669,2.0689,-6.04742,0.88433,0.00546,-0.02559,40.66394,0.56643,-0.00675,-2.0346,-1.39142,-0.25084,0.55842,866.19397,0.27134,-0.11624,0.20845
="2026/04/02 17:29:00.120",0.11704,0.6759,1.40767,-0.39928,1.50843,-3.85567,0.62781,-0.01392,-0.06951,36.23915,-0.40266,0.0963,-1.12843,-2.024,-0.23385,0.30866,865.83337,-0.6392,-0.01387,0.00838
="2026/04/02 17:29:00.140",-0.19232,0.52526,2.32365,0.79992,1.46438,-5.05994,0.49036,-0.11038,-0.20103,30.10646,-0.11599,0.30654,-0.91875,-1.87502,-0.20943,0.68615,866.13428,-0.74925,-0.03394,0.9078
="2026/04/02 17:29:00.160",-0.35046,0.34916,2.31639,1.01571,0.73794,-3.62107,-0.02866,-0.04382,-0.08872,21.83104,0.09834,-0.24673,-0.49781,-2.4859,-0.11917,0.43129,863.06219,-0.46755,-0.01243,0.43673
="2026/04/02 17:29:00.180",-0.58521,0.26014,2.47164,0.50932,1.17601,-3.19258,-0.30569,0.04286,0.10626,14.00721,-1.10614,0.16803,0.56018,-1.96679,0.02509,0.30941,860.25604,-1.43937,0.05187,0.97315
="2026/04/02 17:29:00.200",-0.69033,-0.37786,0.91545,1.16148,1.67794,-4.35548,-0.68319,0.13177,0.1835,6.81193,-0.40502,-0.31575,0.53759,-1.89346,-0.0426,0.14159,856.14429,-0.42209,0.13309,0.69579
="2026/04/02 17:29:00.220",-0.54143,-0.46642,1.44847,0.71024,1.04193,-0.37516,-0.83329,0.08931,0.07012,3.1646,-1.34349,-0.13228,1.56908,-1.97572,0.03595,0.19665,850.62311,-1.84692,0.31984,1.42674
="2026/04/02 17:29:00.240",-0.55009,-0.41953,1.00871,1.04099,1.10059,-1.33747,-1.25676,0.16226,0.17705,0.65616,-1.00665,-0.09372,1.70181,-0.82789,0.08234,0.12351,847.15552,0.04452,0.31195,0.62436
="2026/04/02 17:29:00.260",-0.29751,0.00278,0.28749,0.51686,0.05314,1.54815,-1.33379,0.13725,0.22243,0,-0.41514,-0.26651,1.75651,-0.71705,0.086,0.16607,842.22418,-0.67956,0.52585,0.76185
="2026/04/02 17:29:00.280",-0.58609,-0.31554,-0.38713,0.1394,-0.77803,3.6496,-1.7325,0.17555,0.25212,2.34469,-1.08326,-0.09199,2.41572,-0.67569,0.2477,-0.01783,841.56451,-0.54935,0.30779,0.55289
="2026/04/02 17:29:00.300",-0.45008,-0.51009,-0.5201,0.37021,-0.96912,2.8049,-1.14609,0.13488,0.26077,6.11091,0.29987,-0.29572,1.37534,0.09097,0.06358,0.07366,842.85382,1.05408,0.14859,-0.07925
="2026/04/02 17:29:00.320",-0.18185,-0.09749,-1.64682,-0.10359,-1.82581,6.53735,-0.92416,0.14451,0.15433,12.06942,-0.2632,-0.08687,1.95401,1.29165,0.20524,-0.27552,846.43951,-0.67304,0.40101,0.07871
="2026/04/02 17:29:00.340",-0.34048,-0.63931,-1.22905,0.27921,-1.93585,4.7175,-0.50656,0.03994,0.11703,17.79267,0.69274,-0.06259,0.99481,1.38322,0.32424,0.05912,854.20898,1.04118,0.3565,-0.28728
="2026/04/02 17:29:00.360",0.05869,-0.33077,-2.19906,-0.5976,-2.49584,6.14339,-0.36224,0.07427,0.04028,22.05844,0.71453,-0.11626,0.95164,1.72613,0.20037,-0.40646,860.82562,0.58719,0.10381,-0.70145
="2026/04/02 17:29:00.380",-0.01009,-0.3986,-1.90672,-1.31822,-1.79046,4.22051,-0.0379,0.01072,0.05359,26.43427,0.3842,0.17071,0.28897,2.1494,0.15254,-0.59733,870.09283,0.09447,-0.05118,-0.3364
="2026/04/02 17:29:00.400",0.15022,-0.26418,-1.82484,0.2572,-2.06402,3.61234,0.59136,-0.06086,-0.06543,27.78296,1.43945,0.06953,-0.81906,1.83651,0.08125,-0.51289,877.78424,1.51289,-0.17606,-1.17877
="2026/04/02 17:29:00.420",0.45041,0.62015,-1.10571,-0.9871,-1.64372,3.36532,1.15412,-0.07863,-0.0111,28.90519,0.66944,0.38462,-0.71928,2.13402,0.02977,-0.39017,883.56689,-0.0754,-0.31342,-0.88904
="2026/04/02 17:29:00.440",0.44062,0.1651,-0.85476,-0.66606,-0.76045,0.07189,1.37195,-0.12642,-0.2039,27.83544,1.06609,0.08992,-1.74657,1.59987,-0.06287,-0.42351,887.64294,1.93652,-0.26098,-1.36338
="2026/04/02 17:29:00.460",0.5321,0.14984,-1.19185,-0.71253,-0.56236,0.7047,1.37305,-0.08366,-0.12419,26.61676,0.71085,0.21081,-1.67045,1.05117,-0.18301,0.00932,886.35663,-0.05877,-0.41768,-0.89432
="2026/04/02 17:29:00.480",0.46075,-0.36877,-0.54675,-0.86561,0.48418,-2.41931,1.35945,-0.11753,-0.1289,26.0488,0.09758,0.27109,-1.72001,0.67902,-0.07934,-0.24352,883.78174,0.82229,-0.32807,-0.84212
="2026/04/02 17:29:00.500",0.50085,0.06999,-0.16748,-0.33894,1.00048,-3.38279,1.71347,-0.03869,-0.1024,23.2773,0.44349,-0.09212,-2.17753,0.4786,-0.27322,-0.15023,877.09412,0.88052,-0.30158,-0.62112
