time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00003.chdata,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ
="2026/04/02 17:26:32.500",0.6184,0.04458,0.27764,3.73226,0.08495,-0.4638,0.34553,850.63318,-0.39106,0.15797,-0.20223,0.42262,0.00255,-0.53047,0.62258,-0.01084,0.04017,-0.07254,-0.08585,-0.33127
="2026/04/02 17:26:32.520",0.3862,0.20775,-0.43926,7.33431,0.18928,-0.52319,0.72708,843.65662,-0.3078,0.21859,-0.40727,0.32381,-0.01105,-0.11489,0.34651,0.08266,0.07327,-0.09457,0.0227,-0.04882
="2026/04/02 17:26:32.540",0.45832,0.07234,-0.55364,12.0112,-0.53399,-0.32325,-0.33536,839.66357,-0.17526,0.26039,-0.63428,0.40062,0.02269,-0.46115,-0.00646,-0.02165,0.09244,0.09195,0.03851,-0.06969
="2026/04/02 17:26:32.560",0.35095,-0.26991,-1.13033,17.81526,0.08568,-0.2487,0.30366,838.39038,-0.25324,0.18877,-0.42298,0.82024,0.11684,-0.772,0.57175,0.14874,0.08508,0.34565,-0.05404,-0.3854
="2026/04/02 17:26:32.580",0.01828,-0.1525,-1.1922,23.73775,0.66954,-0.18427,0.39323,840.41736,0.39428,0.16732,-0.77375,0.3802,0.06002,-0.39282,0.41185,-0.03943,0.06322,0.27408,0.04715,0.27604
="2026/04/02 17:26:32.600",0.01934,-0.27146,-1.16378,27.12209,0.21048,0.2183,-0.62281,845.14984,-0.09138,0.16835,-0.55818,0.88832,0.08696,-0.94743,0.0427,0.02103,0.01432,0.53609,-0.0082,-0.11699
="2026/04/02 17:26:32.620",-0.33058,-0.25758,-1.32913,29.28556,0.84029,0.16161,0.48374,852.03723,-0.49733,0.09854,-0.2405,0.61966,0.06138,-0.76723,0.21248,0.0278,0.01664,0.47318,0.08712,0.08517
="2026/04/02 17:26:32.640",-0.5038,-0.33149,-0.94252,29.76282,0.44504,0.28074,-0.607,859.92395,-0.01182,0.11363,-0.5401,0.53816,-0.03142,-0.44614,0.3194,-0.06089,0.03283,0.54762,0.02678,0.3747
="2026/04/02 17:26:32.660",-0.5992,-0.4276,-0.65841,27.03327,0.48131,0.29231,-0.42982,868.70093,-0.03567,0.09676,-0.19304,0.80805,-0.01208,-0.85095,-0.28699,-0.02122,-0.05129,0.56549,-0.02822,-0.19243
="2026/04/02 17:26:32.680",-0.81058,-0.36448,-0.59917,23.24135,0.99392,0.4171,-0.10769,876.69629,-0.04056,0.05104,-0.21208,0.53677,0.07594,-0.69649,-0.06169,0.02305,0.01014,0.42591,0.11711,0.36505
="2026/04/02 17:26:32.700",-0.69353,-0.31497,-0.52012,17.98898,0.27144,0.63169,-0.97007,881.41547,0.15284,0.05059,-0.04491,0.18117,0.07798,-0.19336,0.00251,-0.09473,-0.08689,0.56844,0.01226,0.26627
="2026/04/02 17:26:32.720",-0.70066,-0.40694,-0.37965,12.91367,0.50768,0.35651,-0.02857,882.42108,-0.02745,-0.07573,0.04272,0.54478,-0.06609,-0.73927,-0.2314,0.00133,-0.05569,0.14231,-0.02705,0.3088
