code,type,time,value1,value2,value3
v00029,vibr,1775476770.88,0.00509,-0.01673,-0.00273
v00029,vibr,1775476770.9,0.00483,-0.00861,0.00592
v00029,vibr,1775476770.92,0.00494,0.00754,0.0011
v00029,vibr,1775476770.94,-0.00102,0.00598,0.00357
v00029,vibr,1775476770.96,-0.00444,0.00372,-0.00278
v00029,vibr,1775476770.98,0.00501,-0.00515,-0.00055
v00028,vibr,1775476770.04,-0.00979,-0.02042,-0.0071
v00028,vibr,1775476770.06,-0.00915,0.00324,0.01117
v00028,vibr,1775476770.08,0.01455,0.01015,0.00364
v00028,vibr,1775476770.1,0.00265,0.00688,-0.00201
v00028,vibr,1775476770.12,-0.0012,-0.01048,-0.00098
v00028,vibr,1775476770.14,-0.00022,0.00002,0.01615
v00028,vibr,1775476770.16,0.0016,0.01568,-0.00136
v00028,vibr,1775476770.18,0.00037,0.00491,0.00028
v00028,vibr,1775476770.2,-0.00282,-0.00915,0.01205
v00028,vibr,1775476770.22,-0.00479,-0.0093,0.0038
v00028,vibr,1775476770.24,0.00127,0.01175,0.00111
v00028,vibr,1775476770.26,0.00287,0.00336,0.00352
v00028,vibr,1775476770.28,-0.00153,-0.00858,-0.00115
v00028,vibr,1775476770.3,-0.00354,-0.00189,-0.00741
v00028,vibr,1775476770.32,0.00164,0.02698,0.00913
v00028,vibr,1775476770.34,0.0011,-0.00789,-0.00815
v00028,vibr,1775476770.36,-0.00575,-0.01764,0.00353
v00028,vibr,1775476770.38,0.00022,0.00257,0.00003
v00028,vibr,1775476770.4,0.00614,0.02358,0.00715
v00028,vibr,1775476770.42,-0.00349,-0.00373,-0.0009
v00028,vibr,1775476770.44,-0.0043,-0.00514,-0.0072
v00028,vibr,1775476770.46,0.00106,0.00007,0.00787
v00028,vibr,1775476770.48,0.00695,0.00636,-0.01298
v00028,vibr,1775476770.5,-0.00709,0.00046,-0.00438
v00028,vibr,1775476770.52,-0.01362,-0.01021,-0.00425
v00028,vibr,1775476770.54,0.00219,-0.00592,0.01648
v00028,vibr,1775476770.56,0.00359,0.00293,-0.00163
v00028,vibr,1775476770.58,0.00099,0.00282,-0.0119
v00028,vibr,1775476770.6,0.00072,0.00333,0.01491
v00028,vibr,1775476770.62,-0.00781,-0.00541,-0.00267
v00028,vibr,1775476770.64,0.00161,0.0015,0.00434
v00028,vibr,1775476770.66,0.00386,-0.00632,0.00596
v00028,vibr,1775476770.68,-0.00597,0.00622,0.00378
v00028,vibr,1775476770.7,0.00306,0.00503,0.01137
v00028,vibr,1775476770.72,0.00504,-0.006,0.00128
v00028,vibr,1775476770.74,-0.00229,-0.00623,0.0062
v00028,vibr,1775476770.76,-0.00085,-0.00382,0.0047
v00028,vibr,1775476770.78,-0.01019,0.01129,0.0023
v00028,vibr,1775476770.8,0.00215,0.00922,-0.00193
v00028,vibr,1775476770.82,0.00331,0.00016,-0.0006
v00028,vibr,1775476770.84,-0.00375,-0.01271,-0.00093
v00028,vibr,1775476770.86,0.00132,0.00623,-0.00052
v00028,vibr,1775476770.88,0.00304,0.00837,-0.00585
v00028,vibr,1775476770.9,0.00312,-0.00132,0.00607
v00028,vibr,1775476770.92,0.00473,-0.00626,0.0033
v00028,vibr,1775476770.94,-0.00076,-0.00448,0.00159
v00028,vibr,1775476770.96,0.00219,0.01236,-0.00196
v00028,vibr,1775476770.98,-0.00045,-0.00857,-0.00041
v00028,vibr,1775476771,0.00029,-0.00318,-0.00109
v00028,vibr,1775476771.02,-0.00472,-0.00232,-0.00477
s00018-1,sgd,1775476771,0,,
s00018-1,sgd,1775476771.02,0,,
s00018-1,sgd,1775476771.04,0,,
s00018-1,sgd,1775476771.06,0,,
s00018-1,sgd,1775476771.08,0,,
s00018-1,sgd,1775476771.1,0,,
s00018-1,sgd,1775476771.12,0,,
s00018-1,sgd,1775476771.14,0,,
s00018-1,sgd,1775476771.16,0,,
s00018-1,sgd,1775476771.18,0,,
s00018-1,sgd,1775476771.2,0,,
s00018-1,sgd,1775476771.22,0,,
s00018-1,sgd,1775476771.24,0,,
s00018-1,sgd,1775476771.26,0,,
s00018-1,sgd,1775476771.28,0,,
s00018-1,sgd,1775476771.3,0,,
s00018-1,sgd,1775476771.32,0,,
s00018-1,sgd,1775476771.34,0,,
s00018-1,sgd,1775476771.36,0,,
s00018-1,sgd,1775476771.38,0,,
s00018-1,sgd,1775476771.4,0,,
s00018-1,sgd,1775476771.42,0,,
s00018-1,sgd,1775476771.44,0,,
s00018-1,sgd,1775476771.46,0,,
s00018-1,sgd,1775476771.48,0,,
s00018-1,sgd,1775476771.5,0,,
s00018-1,sgd,1775476771.52,0,,
s00018-1,sgd,1775476771.54,0,,
s00018-1,sgd,1775476771.56,0,,
s00018-1,sgd,1775476771.58,0,,
s00018-1,sgd,1775476771.6,0,,
s00018-1,sgd,1775476771.62,0,,
s00018-1,sgd,1775476771.64,0,,
s00018-1,sgd,1775476771.66,0,,
s00018-1,sgd,1775476771.68,0,,
s00018-1,sgd,1775476771.7,0,,
s00018-1,sgd,1775476771.72,0,,
s00018-1,sgd,1775476771.74,0,,
s00018-1,sgd,1775476771.76,0,,
s00018-1,sgd,1775476771.78,0,,
s00018-1,sgd,1775476771.8,0,,
s00018-1,sgd,1775476771.82,0,,
s00018-1,sgd,1775476771.84,0,,
s00018-1,sgd,1775476771.86,0,,
s00018-1,sgd,1775476771.88,0,,
s00018-1,sgd,1775476771.9,0,,
s00018-1,sgd,1775476771.92,0,,
s00018-1,sgd,1775476771.94,0,,
s00018-1,sgd,1775476771.96,0,,
s00018-1,sgd,1775476771.98,0,,
s00018-2,sgd,1775476771,0,,
s00018-2,sgd,1775476771.02,0,,
s00018-2,sgd,1775476771.04,0,,
s00018-2,sgd,1775476771.06,0,,
s00018-2,sgd,1775476771.08,0,,
s00018-2,sgd,1775476771.1,0,,
s00018-2,sgd,1775476771.12,0,,
s00018-2,sgd,1775476771.14,0,,
s00018-2,sgd,1775476771.16,0,,
s00018-2,sgd,1775476771.18,0,,
s00018-2,sgd,1775476771.2,0,,
s00018-2,sgd,1775476771.22,0,,
s00018-2,sgd,1775476771.24,0,,
s00018-2,sgd,1775476771.26,0,,
s00018-2,sgd,1775476771.28,0,,
s00018-2,sgd,1775476771.3,0,,
s00018-2,sgd,1775476771.32,0,,
s00018-2,sgd,1775476771.34,0,,
s00018-2,sgd,1775476771.36,0,,
s00018-2,sgd,1775476771.38,0,,
s00018-2,sgd,1775476771.4,0,,
s00018-2,sgd,1775476771.42,0,,
s00018-2,sgd,1775476771.44,0,,
s00018-2,sgd,1775476771.46,0,,
s00018-2,sgd,1775476771.48,0,,
s00018-2,sgd,1775476771.5,0,,
s00018-2,sgd,1775476771.52,0,,
s00018-2,sgd,1775476771.54,0,,
