time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ
="2026/04/02 15:58:39.900",0.10667,-0.06896,-0.07691,-0.06755,0.00905,-0.13305,-0.14547,-0.04789,0.14065,17.31872,857.33673,-0.17082,0.0219,0.05239,0.03031,0.03103,-0.00698,0.03352,0.05146,0.02364
="2026/04/02 15:58:39.920",0.09915,0.02222,-0.0053,0.14079,0.01845,-0.08607,-0.38084,0.00198,-0.01439,19.85339,857.42297,-0.11334,-0.02774,0.04735,-0.10413,0.0391,0.17487,0.01339,0.00823,-0.01938
="2026/04/02 15:58:39.940",0.06842,-0.05528,0.0365,0.0334,-0.03344,-0.15946,-0.22535,0.00116,0.04841,22.81221,859.32678,-0.19153,-0.01893,-0.00522,0.08135,0.02418,-0.10947,-0.02358,0.02653,0.02154
="2026/04/02 15:58:39.960",0.03329,-0.08578,0.08736,0.06202,0.0164,-0.0474,-0.09509,0.00996,-0.33753,25.89068,861.99664,-0.15779,0.03392,0.01126,-0.08165,-0.03372,0.17441,-0.18528,0.01758,0.04082
="2026/04/02 15:58:39.980",-0.0598,0.02735,-0.01593,0.11887,-0.02444,-0.08906,-0.24372,0.01193,-0.2391,27.64342,864.63318,-0.38678,-0.02322,0.08462,-0.043,-0.04418,-0.03448,-0.0938,-0.00608,0.02424
="2026/04/02 15:58:40.000",-0.04642,-0.09157,0.15929,0.03518,0.01794,-0.13783,0.29767,0.0034,-0.30551,28.04849,867.89447,-0.16124,0.07192,0.03252,0.04,-0.03939,-0.04025,0.12525,0.01318,-0.02278
="2026/04/02 15:58:40.020",-0.10887,0.0173,0.16444,0.09366,-0.0052,0.10047,-0.05665,0.16606,-0.42674,26.42525,870.43079,-0.28482,0.05902,-0.0368,-0.12361,-0.01661,0.1308,0.02348,0.01483,-0.00869
="2026/04/02 15:58:40.040",-0.09414,0.00921,0.15916,-0.04277,-0.01836,-0.01821,0.12374,0.03525,-0.15932,24.25566,872.70453,-0.15199,0.02731,-0.04428,-0.02903,-0.0036,-0.08972,-0.00585,0.01514,0.02558
="2026/04/02 15:58:40.060",-0.07629,0.02322,0.23719,-0.07071,-0.02006,0.0631,0.21914,-0.02597,-0.14046,22.3719,873.9231,-0.23252,0.04621,-0.01785,-0.097,-0.01748,0.08654,0.0836,-0.05303,-0.03236
="2026/04/02 15:58:40.080",-0.09653,0.16311,0.0327,-0.08822,-0.00567,0.08241,-0.21059,-0.00638,-0.11327,19.58147,872.82184,-0.17944,-0.02932,0.1387,0.03113,-0.01899,-0.08237,-0.00467,0.04048,-0.01744
="2026/04/02 15:58:40.100",-0.00731,-0.00015,0.04744,-0.19591,-0.00906,-0.04941,0.14084,-0.09059,0.13016,17.23022,870.40723,-0.21253,-0.0085,-0.05479,0.01154,-0.00504,-0.10471,0.13914,-0.01214,0.00429
="2026/04/02 15:58:40.120",0.00236,-0.0896,-0.15499,-0.0148,0.02326,0.02817,-0.27052,-0.02686,0.04394,15.44932,866.87244,-0.09203,-0.00727,-0.00064,-0.01844,0.05912,0.14766,0.04298,-0.00064,-0.01097
