time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSGD00003.chdata,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSGD00004.chdata
="2026/04/02 16:34:43.140",-1.18232,-0.07797,1.72088,1.8082,0.33662,0.72912,-0.38137,-0.07573,-0.20332,-0.37547,-0.02211,1.04599,-1.44114,0.08551,0.01537,13.91215,-0.13936,0.65231,1.72634,854.44482
="2026/04/02 16:34:43.160",-0.50773,-0.20028,0.68731,-0.11831,0.96084,-0.68891,-0.59682,-0.09455,-0.14785,-0.46136,-0.11278,1.53616,-1.04145,0.22766,-0.75925,14.05544,-0.22852,0.45599,1.93947,857.76941
="2026/04/02 16:34:43.180",-0.95055,-0.31182,0.95859,0.77064,0.46466,1.268,-0.56216,-0.10487,-0.07569,-0.74799,-0.20089,0.74609,-1.90979,-0.01706,0.02213,14.04934,-0.36018,0.23981,1.92161,861.82007
="2026/04/02 16:34:43.200",-1.19553,-0.22588,1.74895,0.66765,0.45084,0.97646,-0.6286,-0.03485,-0.0385,-0.59316,0.14325,0.97412,-1.54825,0.03626,0.06543,13.63413,-0.35284,-0.02982,0.72475,865.24158
="2026/04/02 16:34:43.220",-0.19409,-0.086,0.03195,-0.88123,0.54464,0.60594,-0.54001,-0.088,-0.15791,-0.87804,-0.03408,1.62159,-1.06646,0.08046,-0.22906,13.52577,-0.41233,-0.27413,1.61387,869.4707
="2026/04/02 16:34:43.240",-0.71688,-0.17689,1.07012,0.64474,0.1198,2.1794,-0.38018,-0.15695,-0.0995,-0.85487,-0.16879,0.22569,-2.02152,-0.04369,0.73758,13.16964,-0.13258,0.02945,1.44463,871.80408
="2026/04/02 16:34:43.260",-0.46305,0.07128,0.87525,-0.78786,0.2765,1.86985,-0.50244,-0.03597,-0.09026,-1.2538,-0.17786,1.12339,-1.14039,0.08909,0.10246,15.47581,-0.63689,0.4055,0.741,873.28009
="2026/04/02 16:34:43.280",0.41441,0.0535,-0.76719,-1.93092,0.03579,1.0715,-0.06859,-0.01565,-0.0232,-1.0883,-0.01914,0.21546,-1.0677,0.073,0.01855,17.82682,-0.15787,-0.4198,0.58643,874.41339
="2026/04/02 16:34:43.300",-0.61519,0.00039,0.40895,0.24149,-0.80131,2.4122,0.08004,-0.03653,0.02001,-1.08988,-0.07027,-0.12862,-1.07639,-0.11893,0.39226,18.98781,-0.36827,0.01004,-0.28907,873.45728
="2026/04/02 16:34:43.320",0.92625,-0.12236,-0.82291,-1.8915,0.22864,-0.46535,0.16607,0.00736,-0.00138,-0.72595,0.08171,0.2646,-0.06224,0.0386,-0.11899,22.60649,-0.22031,-0.32077,-0.68349,872.09692
="2026/04/02 16:34:43.340",0.4537,-0.08987,-0.84647,-0.47446,-0.06247,0.70521,0.43544,0.05742,0.06359,-0.4386,-0.05703,-1.16794,0.01993,-0.03194,0.30957,24.21893,-0.04428,-0.47254,-1.02387,870.99817
="2026/04/02 16:34:43.360",0.60905,0.16107,-0.1586,-0.4109,-0.08484,-0.14484,0.47445,0.10683,0.07246,-0.14258,0.21214,-0.51733,0.85262,-0.00519,0.47316,26.0338,-0.09879,-0.1417,-1.48801,869.60181
="2026/04/02 16:34:43.380",1.38926,0.18294,-1.67883,-1.38792,0.03965,-1.25515,0.50817,0.03197,0.05216,0.33214,-0.00344,-1.26023,1.35712,0.07857,-0.07613,28.89426,0.18973,-0.46392,-1.45403,868.71094
