time,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00003.chdata,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ
="2026/04/02 17:04:09.540",0.03031,0.01669,-0.00624,-0.1086,-0.01154,0.0082,0.34341,-0.06961,0.07507,0.05032,0.0284,0.03256,26.39598,0.09715,0.00432,-0.00287,861.14307,-0.02249,0.01667,-0.09439
="2026/04/02 17:04:09.560",-0.0916,0.00726,-0.00279,-0.13162,-0.01614,0.06075,0.03131,-0.01188,-0.18999,-0.00738,0.02456,0.02013,24.97856,0.14679,0.02053,-0.05049,864.005,-0.01013,-0.0063,0.07803
="2026/04/02 17:04:09.580",-0.01576,0.00285,-0.01233,-0.17314,-0.01464,0.05409,0.1657,-0.05114,-0.14736,0.08688,-0.01247,-0.01949,22.57292,0.03861,-0.00118,-0.16061,866.43317,-0.0047,0.00644,0.02347
="2026/04/02 17:04:09.600",-0.09151,0.00397,0.05817,-0.2104,0.01882,0.02334,0.29567,-0.03692,-0.21093,-0.04872,0.02005,-0.01566,19.62,0.07101,0.02006,-0.03547,868.25098,0.04447,-0.03406,0.03314
="2026/04/02 17:04:09.620",-0.08519,0.01049,-0.06827,-0.11593,-0.00305,0.12497,-0.1278,0.00013,-0.25349,0.00253,-0.02014,0.03202,17.03023,-0.05602,-0.00888,-0.10623,868.97717,0.02279,0.02081,0.00259
="2026/04/02 17:04:09.640",-0.01538,-0.00391,0.08752,-0.10505,-0.01535,0.11466,0.20042,-0.01927,-0.19473,-0.04422,0.03531,0.00648,14.45426,-0.1082,0.00488,-0.07519,867.80865,0.06575,0.02206,0.0501
="2026/04/02 17:04:09.660",-0.05983,-0.00033,-0.00881,0.01962,0.00755,0.09018,-0.17317,0.05384,-0.17903,-0.04271,-0.01066,0.00944,13.1498,-0.05156,0.02552,0.0371,864.86176,0.00345,-0.00615,-0.00521
="2026/04/02 17:04:09.680",0.08482,-0.01112,0.01042,0.08244,-0.01601,0.04966,-0.0917,0.01357,0.06306,-0.02402,0.01148,0.00932,12.82991,-0.17729,-0.0258,-0.06385,861.63281,0.07042,0.01371,0.0003
="2026/04/02 17:04:09.700",-0.03073,-0.01349,0.074,0.12494,0.01624,0.0017,-0.03702,-0.02689,0.11548,-0.03915,-0.00531,0.01949,13.33483,-0.05199,0.00917,0.09371,857.96204,0.02998,-0.01258,-0.00049
="2026/04/02 17:04:09.720",0.05216,-0.00882,0.01587,0.19387,-0.02727,-0.01966,-0.38946,0.01148,0.03356,0.03453,-0.01712,-0.00625,15.87601,-0.07361,-0.01903,0.03974,855.23291,0.05919,0.02796,0.00931
="2026/04/02 17:04:09.740",0.08798,-0.00676,0.02943,0.15751,-0.02374,-0.08854,0.0792,0.01315,0.29747,-0.07459,0.01165,-0.0043,18.30237,-0.085,0.01012,0.06974,853.24445,-0.02867,0.03703,-0.06236
="2026/04/02 17:04:09.760",-0.00805,-0.01884,0.0708,0.14407,-0.00586,-0.08764,-0.19923,0.01667,0.16585,-0.01783,-0.03296,-0.02748,20.57895,0.08846,0.01435,0.14927,852.21112,0.01217,0.00847,0.01607
="2026/04/02 17:04:09.780",0.09175,-0.01567,-0.0149,0.09175,-0.02046,-0.09255,-0.10498,-0.03906,0.15314,0.02413,-0.00631,0.00535,23.7429,0.00321,-0.02151,0.00671,853.07977,-0.08315,0.00005,-0.00395
="2026/04/02 17:04:09.800",-0.09412,-0.00989,0.00989,0.00103,0.02742,-0.0444,0.16953,-0.01672,0.19459,0.00393,0.00128,0.00099,25.83195,0.15877,0.03865,0.13114,855.32666,-0.09229,-0.01883,-0.03264
="2026/04/02 17:04:09.820",0.04933,0.01681,-0.07612,-0.0272,-0.00026,-0.04406,-0.06604,-0.00739,0.05957,-0.00918,0.0017,0.03955,27.14301,0.06927,-0.03717,-0.02202,859.10736,-0.18634,-0.00843,-0.0868
="2026/04/02 17:04:09.840",-0.01493,0.02938,-0.01829,-0.11778,0.01265,-0.00121,0.37768,0.00784,0.04346,-0.02337,-0.02227,-0.00145,26.64288,0.09204,0.01281,-0.06129,862.39728,0.10413,0.03066,0.01662
="2026/04/02 17:04:09.860",-0.11127,0.03067,-0.01653,-0.16389,0.00851,0.04752,0.11395,0.02293,-0.14954,-0.07636,-0.02777,0.00838,25.09917,0.13629,0.01942,-0.00935,865.07123,-0.08478,-0.00037,-0.00808
="2026/04/02 17:04:09.880",0.0071,-0.00145,0.0202,-0.16452,-0.03752,0.09859,0.17715,0.01385,-0.32407,-0.00325,0.02201,-0.00489,22.12402,-0.0066,0.01001,-0.08397,868.51007,-0.00499,0.00714,-0.0687
="2026/04/02 17:04:09.900",-0.12358,-0.00126,0.01785,-0.15683,-0.00363,0.06953,0.27883,-0.00319,-0.21583,0.01548,0.02912,-0.01483,18.24978,0.05381,-0.00096,-0.05945,870.10059,-0.06713,-0.02569,-0.01013
="2026/04/02 17:04:09.920",-0.0185,0.00173,0.01728,-0.10703,-0.01266,0.09324,-0.03746,0.02478,-0.11541,-0.01037,0.01438,0.01639,15.49069,-0.08737,0.00782,-0.01858,869.28802,-0.03363,-0.01144,-0.00269
="2026/04/02 17:04:09.940",-0.04944,-0.00726,0.04065,-0.04579,-0.02249,0.07586,0.08894,0.00186,-0.19372,0.04038,0.00446,-0.02208,13.76879,-0.08204,0.00573,-0.00394,866.87134,-0.02358,0.02105,-0.02488
="2026/04/02 17:04:09.960",-0.05831,0.01287,0.05997,0.01938,0.00028,0.05408,-0.13877,-0.00596,-0.01635,-0.03429,0.00387,-0.0135,12.60687,-0.07779,-0.00702,0.02897,863.84424,0.00898,-0.02397,-0.00014
