time,WSMS00008.AccX,WSMS00008.AccY,WSMS00008.AccZ,WSMS00007.AccX,WSMS00007.AccY,WSMS00007.AccZ,WSGD00003.chdata,WSMS00012.AccX,WSMS00012.AccY,WSMS00012.AccZ,WSGD00004.chdata,WSMS00011.AccX,WSMS00011.AccY,WSMS00011.AccZ,WSMS00009.AccX,WSMS00009.AccY,WSMS00009.AccZ,WSMS00010.AccX,WSMS00010.AccY,WSMS00010.AccZ
="2026/04/02 15:40:48.020",-0.05727,-0.25492,0.2111,-0.35742,-0.22252,0.08518,18.70929,-0.12442,-0.00161,0.01508,867.17029,-0.01612,0.00999,-0.1155,0.24403,-0.05216,0.05409,-0.34324,-0.06526,-0.0779
="2026/04/02 15:40:48.040",0.13302,-0.00312,0.14825,-0.62185,-0.05452,-0.34162,18.13165,-0.01232,-0.01169,-0.00201,864.47241,-0.01819,-0.00063,0.01858,-0.259,0.01162,0.29462,0.1261,-0.13255,0.21857
="2026/04/02 15:40:48.060",0.05339,0.01885,0.23217,0.56286,-0.11227,-0.05524,19.91308,-0.14861,-0.02095,-0.00377,864.03796,-0.19619,0.02682,-0.07126,-0.16525,-0.11946,0.08891,-0.04613,-0.14528,0.03247
="2026/04/02 15:40:48.080",0.13391,0.03252,0.09673,-0.74452,-0.05629,0.44168,20.13434,-0.02591,-0.00785,-0.00213,861.67328,0.27732,-0.03213,0.00632,0.13818,0.0603,0.38626,-0.10706,-0.02059,0.03061
="2026/04/02 15:40:48.100",0.1496,0.01864,-0.09152,0.49919,0.12122,0.04396,21.25072,-0.10288,-0.01652,0.01393,861.3822,-0.24586,0.0163,-0.01915,-0.34451,-0.01139,0.05297,0.28022,0.09011,0.18007
="2026/04/02 15:40:48.120",0.07927,-0.07402,-0.17863,-0.07956,-0.09964,0.99711,23.8617,-0.10638,-0.00727,0.00315,860.30261,-0.01067,-0.03067,0.01716,0.3005,-0.00242,0.03733,-0.21477,0.0723,-0.19087
="2026/04/02 15:40:48.140",0.17191,-0.06571,-0.43146,-0.40457,-0.05212,0.30598,23.06499,-0.01993,-0.01286,0.00921,859.04614,0.01255,0.01446,-0.02589,-0.18106,-0.00368,0.08285,0.19519,0.00704,0.18155
="2026/04/02 15:40:48.160",-0.01836,-0.03405,-0.33216,0.71245,-0.19608,0.45133,24.2587,-0.02009,-0.00703,-0.04334,861.36304,-0.26403,0.05722,-0.02005,0.07525,-0.07434,-0.29972,-0.0059,-0.0189,-0.01181
="2026/04/02 15:40:48.180",0.03256,0.05867,-0.40439,-0.345,-0.18027,0.56784,23.92539,-0.13763,-0.03302,-0.0118,861.74487,0.10401,-0.0097,0.02176,0.28,0.03386,-0.01659,-0.12659,-0.03223,-0.13379
="2026/04/02 15:40:48.200",-0.07627,-0.00173,-0.24256,0.77143,0.00191,-0.69338,23.13344,-0.118,-0.00657,-0.00571,863.80682,-0.2568,0.04961,-0.04713,-0.08272,0.0484,-0.26279,0.15333,-0.03147,0.17611
